n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
22,18,0.82,91.44,92.76,96.31,87.51,0
22,18,0.82,91.78,92.86,96.43,87.73,1
22,18,0.82,91.32,92.76,96.12,87.60,2
22,20,0.91,91.89,92.83,90.27,93.91,3
22,20,0.91,91.64,92.70,90.26,93.59,4
22,18,0.82,91.76,92.82,96.53,87.56,5
22,20,0.91,91.68,92.74,90.19,93.74,6
22,18,0.82,91.53,92.78,96.24,87.63,7
22,18,0.82,91.78,92.89,96.41,87.77,8
22,20,0.91,91.32,92.70,90.49,93.25,9
22,18,0.82,91.63,92.84,96.38,87.63,10
22,20,0.91,91.44,92.64,90.12,93.57,11
22,20,0.91,91.55,92.80,90.65,93.32,12
22,20,0.91,90.89,92.59,90.18,93.16,13
22,18,0.82,91.46,92.80,96.16,87.68,14
22,18,0.82,91.68,92.82,96.31,87.70,15
22,18,0.82,91.70,92.81,96.52,87.52,16
22,18,0.82,91.68,92.80,96.29,87.72,17
22,18,0.82,91.76,92.79,96.60,87.45,18
22,18,0.82,91.68,92.82,96.48,87.55,19
22,18,0.82,91.49,92.74,96.30,87.51,20
22,20,0.91,91.27,92.68,90.31,93.37,21
22,20,0.91,90.94,92.74,90.27,93.18,22
22,18,0.82,91.83,92.84,96.41,87.76,23
22,18,0.82,91.58,92.76,96.40,87.51,24
22,18,0.82,91.47,92.73,96.43,87.37,25
22,18,0.82,91.70,92.78,96.41,87.59,26
22,20,0.91,91.53,92.79,90.67,93.29,27
22,18,0.82,91.54,92.78,96.18,87.71,28
22,18,0.82,91.77,92.84,96.35,87.77,29
22,18,0.82,91.53,92.74,96.33,87.51,30
22,18,0.82,91.70,92.80,96.55,87.47,31
22,18,0.82,91.69,92.80,96.54,87.49,32
22,20,0.91,91.57,92.63,90.07,93.73,33
22,18,0.82,91.81,92.88,96.49,87.72,34
22,18,0.82,91.77,92.80,96.47,87.59,35
22,18,0.82,91.62,92.81,96.27,87.70,36
22,20,0.91,92.02,92.84,90.34,93.96,37
22,18,0.82,91.66,92.76,96.42,87.51,38
22,18,0.82,91.82,92.85,96.51,87.67,39
22,20,0.91,91.74,92.53,90.38,93.40,40
22,20,0.91,91.84,92.77,90.23,93.86,41
22,20,0.91,91.62,92.81,90.72,93.31,42
22,20,0.91,91.40,92.74,90.70,93.13,43
22,18,0.82,91.37,92.66,96.18,87.52,44
22,18,0.82,91.53,92.82,96.28,87.64,45
22,18,0.82,91.64,92.80,96.53,87.45,46
22,20,0.91,91.84,92.82,90.35,93.74,47
22,20,0.91,91.66,92.78,90.21,93.73,48
22,20,0.91,91.75,92.66,90.13,93.80,49
