n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
10,7,0.70,45.74,101.21,103.70,43.57,0
10,7,0.70,45.76,101.41,103.76,43.72,1
10,7,0.70,45.69,101.59,97.93,49.25,2
10,7,0.70,45.74,101.13,103.50,43.67,3
10,7,0.70,45.75,101.35,103.70,43.73,4
10,7,0.70,45.78,100.95,97.39,49.66,5
10,7,0.70,45.74,101.37,103.70,43.66,6
10,7,0.70,45.73,101.18,103.72,43.54,7
10,7,0.70,45.68,101.52,97.84,49.24,8
10,7,0.70,45.75,101.38,103.71,43.72,9
10,7,0.70,45.79,101.22,97.52,49.77,10
10,7,0.70,45.73,101.12,103.46,43.67,11
10,7,0.70,45.79,101.10,97.40,49.77,12
10,7,0.70,45.75,101.35,103.80,43.64,13
10,7,0.70,45.78,100.99,97.47,49.66,14
10,7,0.70,45.76,101.38,103.74,43.70,15
10,7,0.70,45.75,101.26,103.69,43.63,16
10,7,0.70,45.74,101.34,103.69,43.66,17
10,7,0.70,45.78,100.92,97.43,49.65,18
10,7,0.70,45.75,101.17,103.39,43.85,19
10,7,0.70,45.74,101.36,103.63,43.74,20
10,7,0.70,45.75,101.33,103.73,43.66,21
10,7,0.70,45.76,101.44,103.83,43.70,22
10,7,0.70,45.68,101.57,97.91,49.25,23
10,7,0.70,45.74,101.37,103.62,43.67,24
10,7,0.70,45.76,101.44,103.75,43.74,25
10,7,0.70,45.76,101.40,103.56,43.92,26
10,7,0.70,45.76,101.45,103.79,43.74,27
10,7,0.70,45.73,101.27,103.60,43.69,28
10,7,0.70,45.68,101.74,98.03,49.32,29
10,7,0.70,45.75,101.35,103.78,43.65,30
10,7,0.70,45.74,101.37,103.73,43.61,31
10,7,0.70,45.66,101.52,97.86,49.15,32
10,7,0.70,45.78,100.85,97.36,49.63,33
10,7,0.70,45.76,101.40,103.94,43.59,34
10,7,0.70,45.73,101.11,103.43,43.70,35
10,7,0.70,45.73,101.06,103.44,43.68,36
10,7,0.70,45.75,101.33,103.71,43.68,37
10,7,0.70,45.71,100.86,103.31,43.60,38
10,7,0.70,45.66,101.46,97.82,49.14,39
10,7,0.70,45.74,101.16,103.49,43.72,40
10,7,0.70,45.76,101.30,103.47,43.88,41
10,7,0.70,45.66,101.63,97.92,49.26,42
10,7,0.70,45.74,101.26,103.71,43.62,43
10,7,0.70,45.75,101.40,103.65,43.80,44
10,7,0.70,45.71,101.62,97.85,49.43,45
10,7,0.70,45.72,101.15,103.58,43.57,46
10,7,0.70,45.75,101.40,103.64,43.81,47
10,7,0.70,45.79,100.93,97.32,49.71,48
10,7,0.70,45.79,101.05,97.57,49.65,49
