r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.40,132.73,0.00,22.37,0.00,g,3.25,141.64,-0.31,22.19,0.00,e,0
3.80,116.11,0.00,10.01,0.00,g,3.25,185.58,4.34,12.32,0.00,e,1
3.39,132.91,0.00,22.98,0.00,g,3.25,152.62,-0.25,22.64,0.00,e,2
3.32,148.23,0.00,20.72,0.00,g,3.30,158.76,-0.13,20.60,0.00,e,3
3.35,138.09,0.00,22.27,0.00,g,3.30,151.96,-0.23,22.13,0.00,e,4
3.39,116.29,0.00,11.60,0.00,g,3.73,188.70,4.38,13.61,0.00,e,5
3.37,133.23,0.00,21.31,0.00,g,3.25,148.97,-0.17,21.46,0.00,e,6
3.38,154.75,0.00,19.43,0.00,g,3.25,156.39,-0.09,18.54,0.00,e,7
3.33,128.29,0.00,20.89,0.00,g,3.28,137.18,-0.18,20.73,0.00,e,8
3.28,132.13,0.00,17.86,0.00,g,3.32,125.88,-0.03,17.28,0.00,e,9
3.39,137.81,0.00,22.05,0.00,g,3.26,143.44,-0.30,21.73,0.00,e,10
3.25,137.59,0.00,16.52,0.00,g,3.35,127.87,0.03,15.94,0.00,e,11
3.40,129.26,0.00,22.93,0.00,g,3.25,150.81,-0.27,23.07,0.00,e,12
3.36,133.93,0.00,22.45,0.00,g,3.29,152.93,-0.23,22.53,0.00,e,13
3.38,137.97,0.00,17.97,0.00,g,3.25,124.57,-0.07,17.14,0.00,e,14
3.25,145.30,0.00,22.42,0.00,g,3.40,162.23,-0.21,22.49,0.00,e,15
3.35,136.62,0.00,20.23,0.00,g,3.26,139.45,-0.15,19.93,0.00,e,16
3.25,135.71,0.00,17.53,0.00,g,3.35,124.23,-0.03,16.84,0.00,e,17
3.30,146.22,0.00,21.40,0.00,g,3.34,154.08,-0.18,21.11,0.00,e,18
3.33,149.34,0.00,19.96,0.00,g,3.28,150.84,-0.11,19.67,0.00,e,19
3.32,137.44,0.00,18.79,0.00,g,3.28,134.90,-0.07,18.23,0.00,e,20
3.39,131.47,0.00,22.34,0.00,g,3.25,147.50,-0.24,22.21,0.00,e,21
3.39,149.25,0.00,21.43,0.00,g,3.25,157.00,-0.21,21.12,0.00,e,22
3.37,152.07,0.00,20.68,0.00,g,3.26,157.42,-0.16,20.39,0.00,e,23
3.32,135.27,0.00,21.17,0.00,g,3.30,148.60,-0.16,21.22,0.00,e,24
3.51,180.62,0.00,30.00,0.00,g,3.25,132.25,4.20,25.99,0.00,e,25
3.26,145.63,0.00,20.52,0.00,g,3.35,155.55,-0.11,20.39,0.00,e,26
3.53,114.10,0.00,10.97,0.00,g,3.58,179.71,4.30,14.08,0.00,e,27
3.51,122.19,0.00,10.03,0.00,g,3.54,194.98,4.42,10.88,0.00,e,28
3.25,129.78,0.00,21.41,0.00,g,3.37,136.98,-0.19,21.23,0.00,e,29
3.37,141.22,0.00,20.94,0.00,g,3.25,154.10,-0.15,21.01,0.00,e,30
3.30,140.24,0.00,20.06,0.00,g,3.31,142.54,-0.13,19.80,0.00,e,31
3.25,130.98,0.00,21.26,0.00,g,3.37,139.15,-0.17,20.89,0.00,e,32
3.35,116.90,0.00,10.02,0.00,g,3.71,180.11,4.47,10.87,0.00,e,33
3.42,149.24,0.00,22.29,0.00,g,3.25,152.97,-0.32,22.03,0.00,e,34
3.25,157.21,0.00,21.47,0.00,g,3.39,173.49,-0.13,20.92,0.00,e,35
3.27,161.07,0.00,20.90,0.00,g,3.38,161.36,-0.17,20.57,0.00,e,36
3.25,127.99,0.00,20.30,0.00,g,3.35,132.49,-0.14,20.06,0.00,e,37
3.26,156.18,0.00,17.38,0.00,g,3.34,152.33,0.00,18.06,0.00,e,38
3.35,129.31,0.00,20.74,0.00,g,3.26,141.30,-0.15,20.77,0.00,e,39
3.35,133.04,0.00,18.74,0.00,g,3.25,130.12,-0.08,18.37,0.00,e,40
3.37,143.17,0.00,20.51,0.00,g,3.25,145.66,-0.16,20.21,0.00,e,41
3.39,131.78,0.00,22.88,0.00,g,3.25,150.53,-0.27,23.13,0.00,e,42
3.25,132.34,0.00,22.86,0.00,g,3.40,146.62,-0.25,22.72,0.00,e,43
3.25,152.03,0.00,19.27,0.00,g,3.41,137.81,-0.17,18.57,0.00,e,44
3.42,143.80,0.00,21.96,0.00,g,3.25,147.80,-0.31,21.71,0.00,e,45
3.29,141.19,0.00,19.64,0.00,g,3.34,137.69,-0.12,19.08,0.00,e,46
3.25,154.93,0.00,21.83,0.00,g,3.40,160.93,-0.21,21.57,0.00,e,47
3.35,146.14,0.00,21.26,0.00,g,3.28,163.84,-0.15,21.35,0.00,e,48
3.39,139.86,0.00,22.38,0.00,g,3.25,153.03,-0.25,22.34,0.00,e,49
