r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.43,183.17,0.00,25.93,0.00,e,3.37,159.49,-0.21,26.59,0.00,b,0
3.43,145.96,0.00,22.49,0.00,e,3.25,147.39,4.15,22.23,0.00,c,1
3.33,148.42,0.00,21.31,0.00,e,3.35,147.48,1.22,20.89,0.00,e,2
3.53,174.27,0.00,25.90,0.00,e,3.27,153.49,2.78,25.06,0.00,g,3
3.37,159.68,0.00,20.24,0.00,f,3.26,159.35,4.35,19.99,0.00,b,4
3.52,137.73,0.00,10.00,0.00,f,3.49,159.27,-3.16,10.00,0.00,c,5
3.84,159.47,0.00,10.00,0.00,f,3.25,196.83,4.24,12.86,0.00,e,6
3.49,152.37,0.00,22.50,0.00,f,3.37,132.67,1.39,20.68,0.00,g,7
3.25,147.35,0.00,20.82,0.00,g,3.43,145.75,2.80,20.54,0.00,b,8
3.41,144.88,0.00,20.99,0.00,g,3.25,143.66,1.24,20.61,0.00,c,9
3.38,152.24,0.00,21.96,0.00,g,3.26,157.53,-1.74,21.81,0.00,e,10
3.53,150.89,0.00,10.09,0.00,g,3.51,178.47,-0.17,10.44,0.00,g,11
3.34,180.44,0.00,25.31,0.00,e,3.48,155.57,-0.18,25.41,0.00,b,12
3.25,158.76,0.00,21.56,0.00,e,3.41,159.20,4.31,21.32,0.00,c,13
3.25,146.55,0.00,22.38,0.00,e,3.42,147.98,1.26,22.09,0.00,e,14
3.27,156.86,0.00,21.73,0.00,e,3.38,158.96,-1.69,21.72,0.00,g,15
3.32,168.25,0.00,25.61,0.00,f,3.46,149.10,-1.65,25.88,0.00,b,16
3.38,160.93,0.00,20.25,0.00,f,3.25,160.32,2.84,20.06,0.00,c,17
3.41,146.00,0.00,18.85,0.00,f,3.25,141.52,-0.16,18.04,0.00,e,18
3.55,158.55,0.00,27.17,0.00,f,3.25,141.89,1.21,25.53,0.00,g,19
3.33,163.22,0.00,18.74,0.00,g,3.30,160.34,2.93,18.35,0.00,b,20
3.28,144.57,0.00,19.01,0.00,g,3.32,144.05,1.45,18.87,0.00,c,21
3.27,160.47,0.00,21.56,0.00,g,3.41,158.66,-1.78,21.18,0.00,e,22
3.25,159.54,0.00,29.99,0.00,g,3.51,146.31,-0.30,29.99,0.00,g,23
3.26,142.04,0.00,21.66,0.00,e,3.38,144.10,-4.69,21.35,0.00,b,24
3.30,161.15,0.00,20.71,0.00,e,3.34,162.48,4.39,20.49,0.00,c,25
3.54,151.77,0.00,10.06,0.00,e,3.50,182.27,-4.57,10.42,0.00,e,26
3.69,140.43,0.00,10.00,0.00,e,3.33,159.34,2.72,10.89,0.00,g,27
3.44,167.01,0.00,26.38,0.00,f,3.35,147.67,-1.71,26.59,0.00,b,28
3.53,162.72,0.00,10.00,0.00,f,3.50,199.22,-3.03,10.00,0.00,c,29
3.37,147.99,0.00,20.72,0.00,f,3.26,150.23,-0.18,20.38,0.00,e,30
3.37,162.06,0.00,30.00,0.00,f,3.37,149.95,1.20,30.00,0.00,g,31
3.30,128.25,0.00,20.54,0.00,g,3.33,128.37,2.80,20.25,0.00,b,32
3.39,149.18,0.00,20.84,0.00,g,3.25,149.51,1.29,20.54,0.00,c,33
3.47,176.42,0.00,29.93,0.00,g,3.25,160.94,2.66,29.97,0.00,e,34
3.45,145.17,0.00,29.97,0.00,g,3.29,134.90,-0.36,29.78,0.00,g,35
3.40,174.59,0.00,28.05,0.00,e,3.33,157.57,-0.20,28.49,0.00,b,36
3.43,137.05,0.00,27.30,0.00,e,3.36,124.69,-1.77,26.72,0.00,c,37
3.36,150.49,0.00,18.48,0.00,e,3.26,147.94,1.42,18.07,0.00,e,38
3.50,177.60,0.00,27.32,0.00,e,3.26,157.62,2.75,27.01,0.00,g,39
3.37,157.33,0.00,19.90,0.00,f,3.26,156.03,4.37,19.61,0.00,b,40
3.32,167.42,0.00,22.83,0.00,f,3.34,172.25,2.79,22.79,0.00,c,41
3.30,168.39,0.00,20.72,0.00,f,3.35,167.82,-0.17,20.48,0.00,e,42
3.54,139.69,0.00,27.10,0.00,f,3.25,126.74,1.19,27.01,0.00,g,43
3.47,125.97,0.00,26.10,0.00,g,3.25,132.76,2.36,25.96,0.00,b,44
3.39,151.68,0.00,21.31,0.00,g,3.25,152.52,1.27,21.06,0.00,c,45
3.31,147.67,0.00,22.52,0.00,g,3.35,150.66,-1.75,22.17,0.00,e,46
3.38,154.39,0.00,19.92,0.00,g,3.26,152.97,-4.71,19.68,0.00,g,47
3.35,135.19,0.00,18.34,0.00,e,3.25,133.73,-4.58,17.58,0.00,b,48
3.41,158.27,0.00,16.81,0.00,e,3.25,151.57,4.45,16.13,0.00,c,49
3.36,156.47,0.00,21.27,0.00,e,3.28,160.79,1.32,21.13,0.00,e,50
